ICD/RVS Codes,Description
I60.0,Subarachnoid haemorrhage from carotid siphon and bifurcation
I60.1,Subarachnoid haemorrhage from middle cerebral artery
I60.2,Subarachnoid haemorrhage from anterior communicating artery
I60.3,Subarachnoid haemorrhage from posterior communicating artery
I60.4,Subarachnoid haemorrhage from basilar artery
I60.5,Subarachnoid haemorrhage from vertebral artery
I60.6,Subarachnoid haemorrhage from other intracranial arteries; Multiple involvement of intracranial arteries
I60.7,"Subarachnoid haemorrhage from intracranial artery, unspecified; Congenital ruptured berry aneurysm NOS; Subarachnoid haemorrhage from cerebral artery NOS; Subarachnoid haemorrhage from communicating artery NOS"
I60.8,Other subarachnoid haemorrhage; Meningeal haemorrhage; Rupture of cerebral arteriovenous malformation
I60.9,"Subarachnoid haemorrhage, unspecified "
I61.0,"Intracerebral haemorrhage in hemisphere, subcortical; Deep intracerebral haemorrhage "
I61.1,"Intracerebral haemorrhage in hemisphere, cortical; Cerebral lobe haemorrhage; Superficial intracerebral haemorrhage"
I61.2,"Intracerebral haemorrhage in hemisphere, unspecified"
I61.3,Intracerebral haemorrhage in brain stem
I61.4,Intracerebral haemorrhage in cerebellum
I61.5,"Intracerebral haemorrhage, intraventricular"
I61.6,"Intracerebral haemorrhage, multiple localized"
I61.8,Other intracerebral haemorrhage
I61.9,"Intracerebral haemorrhage, unspecified"
I62.0,Acute Subdural haemorrhage; Nontraumatic Subdural haemorrhage
I62.1,Nontraumatic extradural haemorrhage; Nontraumatic epidural haemorrhage
I62.9,"Intracranial haemorrhage (nontraumatic), unspecified"
I63.0,Cerebral infarction due to thrombosis of precerebral arteries
I63.1,Cerebral infarction due to embolism of precerebral arteries
I63.2,Cerebral infarction due to unspecified occlusion or stenosis of precerebral arteries
I63.3,Cerebral infarction due to thrombosis of cerebral arteries
I63.4,Cerebral infarction due to embolism of cerebral arteries
I63.5,Cerebral infarction due to unspecified occlusion or stenosis of cerebral arteries
I63.6,"Cerebral infarction due to cerebral venous thrombosis, nonpyogenic"
I63.8,Other cerebral infarction
I63.9,"Cerebral infarction, unspecified"
I63.9+G46.7*,Other lacunar syndrome in unspecified cerebral infarction
I64,"Stroke, not specified as hemorrhage or infarction"
I21.0,Acute transmural myocardial infarction of anterior wall [or duration of <4 weeks] KILLIPS stage unspecified; Acute transmural infarction of anterior wall NOS [or duration of <4 weeks] KILLIPS stage unspecified; Acute anteroapical transmural infarction [or
I21.1,Acute transmural myocardial infarction of inferior wall [or duration of <4 weeks] KILLIPS I; Acute transmural infarction of diaphragmatic wall [or duration of <4 weeks] KILLIPS I; Acute transmural infarction of inferior wall NOS [or duration of <4 weeks]
I21.2,Acute transmural myocardial infarction of other sites [or duration of <4 weeks] KILLIPS II; Acute apical-lateral transmural infarction [or duration of <4 weeks] KILLIPS II; Acute basal-lateral transmural infarction [or duration of <4 weeks] KILLIPS I
I21.3,Acute transmural myocardial infarction of unspecified site; Transmural myocardial infarction NOS
I21.4,Acute subendocardial myocardial infarction; Nontransmural myocardial infarction NOS
I21.9,"Acute myocardial infarction, unspecified [or duration of <4 weeks] KILLIPS I; Acute myocardial infarction NOS [or duration of <4 weeks] KILLIPS I"
I22.0,Subsequent myocardial infarction of anterior wall; Acute Subsequent infarction of anterior wall NOS; Acute subsequent infarction of anteroapical wall; Acute subsequent infarction of anterolateral wall; Acute subsequent infarction of anteroseptal wall
I22.1,Subsequent myocardial infarction of inferior wall; Acute subsequent infarction of diaphragmatic wall; Acute subsequent infarction of inferior wall NOS; Acute subsequent infarction of inferolateral wall; Acute subsequent infarction of inferoposterior wall
I22.8,Subsequent myocardial infarction of other sites; Acute myocardial infarction of apical-lateral wall; Acute myocardial infarction of basal-lateral wall; Acute myocardial infarction of high lateral wall; Acute myocardial infarction of lateral wall NOS; Acut
I22.9,Subsequent myocardial infarction of unspecified site
I23.0,Haemopericardium as current complication following acute myocardial infarction
I23.1,Atrial septal defect as current complication following acute myocardial infarction
I23.2,Ventricular septal defect as current complication following acute myocardial infarction
I23.3,Rupture of cardiac wall without haemopericardium as current complication following acute myocardial infarction
I23.4,Rupture of chordae tendineae as current complication following acute myocardial infarction
I23.5,Rupture of papillary muscle as current complication following acute myocardial infarction
I23.8,Other current complications following acute myocardial infarction
I24.1,Dressler's syndrome; Postmyocardial infarction syndrome
O08.2,Embolism following abortion and ectopic and molar pregnancy; Embolism NOS; Air embolism; Amniotic fluid embolism; Blood-clot embolism; Pulmonary embolism; Pyaemic embolism; Septic or septicopyaemic embolism; Soap embolism
O08.5,Metabolic disorders following abortion and ectopic and molar pregnancy
O08.9,"Complication following abortion and ectopic and molar pregnancy, unspecified"
O67.8,Other intrapartum haemorrhage; Excessive intrapartum haemorrhage
O71.0,Rupture of uterus before on set of labour
O71.1,Rupture of uterus during labour; Rupture of uterus not stated as occuring before onset of labour
O71.2,Post partum inversion of uterus
O71.3,Obstetric laceration of cervix; Annular detachment of cervix
O71.5,Other obstetric injury to pelvic organs; Obstetric injury to bladder; Obstetric injury to urethra
O71.7,Obstetric haematoma of pelvis; Obstetric haematoma of perineum; Obstetric haematoma of vagina; Obstetric haematoma of vulva
O71.8,Other specified obstetric trauma
O71.9,"Obstetric trauma, unspecified"
O74.0,Aspiration pneumonitis due to anaesthesia during labour and delivery; Inhalation of stomach contents or secretions NOS due to anaesthesia during labour and delivery; Mendelson's syndrome due to anaesthesia during labour and delivery
O74.2,Cardiac complications of anaesthesia during labour and delivery; Cardiac arrest due to anaesthesia during labour and delivery; Cardiac failure due to anaesthesia during labour and delivery
O74.8,Other complications of anaesthesia during labour and delivery
O75.1,Shock during or following labour and delivery; Obstetic shock
O75.8,Other specified complications of labour and delivery
O75.9,"Complication of labour and delivery, unspecified"
O87.9,"Venous complication in the puerperium, unspecified; Puerperal phlebitis NOS; Puerperal phlebopathy NOS; Puerperal thrombosis NOS"
11000,Debridement of extensive eczematous or infected skin
11010,Debridement including removal of foreign material associated w/ open fracture(s) and/or dislocation(s); skin and subcutaneous tissues
11011,"Debridement including removal of foreign material associated w/ open fracture(s) and/or dislocation(s); skin, subcutaneous tissue, muscle fascia, and muscle"
11012,"Debridement including removal of foreign material associated w/ open fracture(s) and/or dislocation(s); skin, subcutaneous tissue, muscle fascia, muscle, and bone"
11040,"Debridement; skin, partial thickness"
11041,"Debridement; skin, full thickness"
11042,"Debridement; skin, and subcutaneous tissue"
11043,"Debridement; skin, subcutaneous tissue, and muscle"
11044,"Debridement; skin, subcutaneous tissue, muscle, and bone"
11720,Debridement of nail(s) by any method(s); one to five
11721,Debridement of nail(s) by any method(s); six or more
16010,"Dressings and/or debridement, initial or subsequent"
21627,Sternal debridement
36430,Outpatient Transfusion of Blood or Blood Products; one or more units
49080,"Peritoneocentesis, abdominal paracentesis, or peritoneal lavage (diagnostic or therapeutic)"
55250,"Vasectomy, unilateral or bilateral"
58600,"Ligation or transection of fallopian tube(s), abdominal or vaginal approach, unilateral or bilateral"
77401,Radiation treatment delivery (Linear Accelerator)
77401,Radiation treatment delivery (Cobalt)
77761,"Intracavitary radiation source application, 1 or more sources/ribbons (Brachytherapy), one or more sessions during the course of therapy including follow-up care for 90 days after procedure"
77776,"Interstitial radiation source application, 1 or more sources/ribbons (Brachytherapy), one or more sessions during the course of therapy including follow-up care for 90 days after procedure"
77781,Remote after loading high intensity brachytherapy (RAHIB); 1 or more source position or catheters per session
77789,"Surface application of radiation source (Brachytherapy), one or more sessions during the course of therapy including follow-up care for 90 days after procedure"
90935,Hemodialysis procedure
90945,"Dialysis procedure other than hemodialysis (e.g. peritoneal, hemofiltration)"
96408,Chemotherapy administration
,"The following procedures if done on both sides during one confinement, the second procedure shall be considered as the second case rate and shall be reimbursed at 50% of the case rate for the procedure except for the (3) cataract package surgeries:"
15820,"Blepharoplasty, lower eyelid"
15822,"Blepharoplasty, upper eyelid;"
15823,"Blepharoplasty, upper eyelid; with excessive skin weighting down lid"
19160,"Mastectomy, partial;"
19162,"Mastectomy, partial; with axillary lymphadenectomy"
19180,"Mastectomy, simple, complete"
19182,"Mastectomy, subcutaneous"
19200,"Mastectomy, radical, icnluding pectoral muscles, axillary lymph nodes"
19220,"Mastectomy, radical, including pectoral muscles, axillary and internal mammary lymph nodes (Urban type operation)"
19240,"Mastectomy, modified radical, including axillary lymph nodes, w/ or w/o pectoralis minor muscle, but excluding pectoralis major muscle"
19340,"Immediate insertion of breast prosthesis following mastopexy, mastectomy or in reconstruction"
19342,"Delayed insertion of breast prosthesis following mastopexy, mastectomy or in reconstruction"
19350,Nipple/areola reconstruction
19357,"Breast reconstruction, immediate or delayed, with tissue expander, including subsequent expansion"
19361,"Breast reconstruction with latissimus dorsi flap, with or without prosthetic implant"
19364,Breast reconstruction with free flap
19366,Breast reconstruction with other technique
19367,"Breast reconstruction with transverse rectus abdominis myocutaneous flap (TRAM), single pedicle, including closure of donor site;"
19369,"Breast reconstruction with transverse rectus abdominis myocutaneous flap (TRAM), double pedicle, including closure of donor site"
19370,"Open periprosthetic capsulotomy, breast"
19371,"Periprosthetic capsulectomy, breast"
23515,"Open treatment of clavicular fracture, w/ or w/o internal or external fixation"
23520,Closed treatment of sternoclavicular dislocation
23530,"Open treatment of sternoclavicular disloction, acute or chronic;"
23532,"Open treatment of sternoclavicular disloction, w/ fascial graft (includes obtaining graft)"
23540,Closed treatment of acromioclavicular dislocation
23550,"Open treatment of acromioclavicular dislocation, acute or chronic;"
23552,"Open treatment of acromioclavicular dislocation, acute or chronic; w/ fascial graft (includes obtaining graft)"
23570,Closed treatment of scapular fracture
23585,"Open treatment of scapular fracture (body, glenoid or acromion) w/ or w/o internal fixation"
23600,Closed treatment of proximal humeral (surgical or anatomical neck) fracture
23615,"Open treatment of proximal humeral (surgical or anatomical neck) fracture, w/ or w/o internal or external fixation, w/ or w/o repair of tuberosity(-ies);"
23616,"Open treatment of proximal humeral (surgical or anatomical neck) fracture, w/ or w/o internal or external fixation, w/ or w/o repair of tuberosity(-ies); w/ proximal humeral prosthetic replacement"
23620,Closed treatment of greater tuberosity fracture
23630,"Open treatment of greater tuberosity fracture, w/ or w/o internal or external fixation"
23650,Closed treatment of shoulder dislocation
23660,Open treatment of acute shoulder dislocation
23665,"Closed treatment of shoulder dislocation,/ fracture of greater tuberosity"
23670,"Open treatment of shoulder dislocation, w/ fracture of greater tuberosity, w/ or w/o internal or external fixation"
23675,"Closed treatment of shoulder dislocation, w/ surgical or anatomical neck fracture"
23680,"Open treatment of shoulder dislocation, w/ surgical or anatomical neck fracture, w/ or w/o internal or external fixation"
23700,"Manipulation under anesthesia, shoulder joint, including application of fixation apparatus (dislocation excluded)"
23900,Interthoracoscapular amputation (forequarter)
23920,Disarticulation of shoulder;
24500,Closed treatment of humeral shaft fracture
24515,"Open treatment of humeral shaft fracture w/ plate/screws, w/ or w/o cerclage"
24516,"Open treatment of humeral shaft fracture, w/ insertion of intramedullary implant, w/ or w/o cerclage and/or locking screws"
24530,"Closed treatment of supracondylar or transcondylar humeral fracture, w/ or w/o intercondylar extension"
24545,"Open treatment of humeral supracondylar or transcondylar fracture, w/ or w/o internal or external fixation; w/o intercondylar extension"
24546,"Open treatment of humeral supracondylar or transcondylar fracture, w/ or w/o internal or external fixation; w/ intercondylar extension"
24560,"Closed treatment of humeral epicondylar fracture, medial or lateral;"
24575,"Open treatment of humeral epicondylar fracture, medial or lateral, w/ or w/o internal or external fixation"
24576,"Closed treatment of humeral condylar fracture, medial or lateral"
24579,"Open treatment of humeral condylar fracture, medial or lateral, w/ or w/o internal or external fixation"
24586,Open treatment of periarticular fracture and/or dislocation of the elbow (fracture distal humerus and proximal ulna and/or proximal radius);
24587,Open treatment of periarticular fracture and/or dislocation of the elbow (fracture distal humerus and proximal ulna and/or proximal radius); w/ implant arthroplasty
24600,Treatment of closed elbow dislocation
24615,Open treatment of acute or chronic elbow dislocation
24620,Closed treatment of Monteggia type of fracture dislocation at elbow (fracture proximal end of ulna w/ dislocation of radial head)
24635,"Open treatment of Monteggia type of fracture dislocation at elbow (fracture proximal end of ulna w/ dislocation of radial head), w/ or w/o internal or external fixation"
24640,"Closed treatment of radial head subluxation in child, ""nursemaid elbow"""
