ACR_GROUPID,ICDCODE,DESCRIPTION,EFF_DATE,ACTIVE
CR0001,P91.4,NEONATAL CEREBRAL DEPRESSION,1/1/2014,T
CR0001,P91.6,HYPOXIC ISCHEMIC ENCEPHALOPATHY OF NEWBORN,1/1/2014,T
CR0001,P91.3,NEONATAL CEREBRAL IRRITABILITY,1/1/2014,T
CR0001,P91.9,"DISTURBANCE OF CEREBRAL STATUS OF NEWBORN, UNSPECIFIED",1/1/2014,T
CR0001,P91.8,OTHER SPECIFIED DISTURBANCES OF CEREBRAL STATUS OF NEWBORN,1/1/2014,T
CR0002,J85.3,ABSCESS OF MEDIASTINUM,1/1/2014,T
CR0002,J86.0,PYOTHORAX WITH FISTULA,1/1/2014,T
CR0002,J85.2,ABSCESS OF LUNG WITHOUT PNEUMONIA; ABSCESS OF LUNG NOS,1/1/2014,T
CR0002,J85.1,ABSCESS OF LUNG WITH PNEUMONIA,1/1/2014,T
CR0002,J86.9,PYOTHORAX WITHOUT FISTULA; ABSCESS OF PLEURA; ABSCESS OF THORAX; EMPYEMA; PYOPNEUMOTHORAX,1/1/2014,T
CR0002,J39.0,RETROPHARYNGEAL AND PARAPHARYNGEAL ABSCESS; PERIPHARYNGEAL ABSCESS,1/1/2014,T
CR0002,J38.7,OTHER DISEASES OF LARYNX; ABSCESS OF LARYNX; CELLULITIS OF LARYNX; DISEASE NOS OF LARYNX; NECROSIS OF LARYNX; PACHYDERMA OF LARYNX; PERICHONDRITIS OF LARYNX; ULCER OF LARYNX,1/1/2014,T
CR0002,J36,PERITONSILLAR ABSCESS; ABSCESS OF TONSIL; PERITONSILLAR CELLULITIS; QUINSY,1/1/2014,T
CR0002,J39.2,OTHER DISEASES OF PHARYNX; CYST OF PHARYNX OR NASOPHARYNX; OEDEMA OF PHARYNX OR NASOPHARYNX,1/1/2014,T
CR0002,J39.1,OTHER ABSCESS OF PHARYNX; CELLULITIS OF PHARYNX; NASOPHARYNGEAL ABSCESS,1/1/2014,T
CR0003,A04.5,CAMPYLOBACTER ENTERITIS,1/1/2014,T
CR0003,K52.8,OTHER SPECIFIED NONINFECTIVE GASTROENTERITIS AND COLITIS; EOSINOPHILIC GASTRITIS OR GASTROENTERITIS,1/1/2014,T
CR0003,A05.3,FOODBORNE VIBRIO PARAHAEMOLYTICUS INTOXICATION,1/1/2014,T
